title_english,status,episodes,rating,rank,popularity,favorites,score,genres,themes,scored_by_members,is_ongoing,genre_list,action,adventure,avant garde,award winning,boys love,comedy,drama,ecchi,erotica,fantasy,girls love,gourmet,hentai,horror,mystery,romance,sci-fi,slice of life,sports,supernatural,suspense,unknown
Your Name.,Finished Airing,1.0,PG-13 - Teens 13 or older,31.0,11,93707,8.83,"award winning, drama",unknown,2464806.0,0,"['award winning', 'drama']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demon Slayer: Kimetsu no Yaiba,Finished Airing,26.0,R - 17+ (violence & profanity),187.0,5,93059,8.43,"action, award winning, supernatural",Historical,2767514.5,0,"['action', 'award winning', 'supernatural']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A Silent Voice,Finished Airing,1.0,PG-13 - Teens 13 or older,17.0,19,92828,8.93,"award winning, drama",unknown,2111263.5,0,"['award winning', 'drama']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Your Lie in April,Finished Airing,22.0,PG-13 - Teens 13 or older,80.0,24,88494,8.64,"drama, romance","Love Polygon, Music, School",1881475.5,0,"['drama', 'romance']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cowboy Bebop,Finished Airing,26.0,R - 17+ (violence & profanity),47.0,42,86816,8.75,"action, award winning, sci-fi","Adult Cast, Space",1502107.0,0,"['action', 'award winning', 'sci-fi']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Naruto,Finished Airing,220.0,PG-13 - Teens 13 or older,674.0,9,83595,8.01,"action, adventure, fantasy",Martial Arts,2538490.5,0,"['action', 'adventure', 'fantasy']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gurren Lagann,Finished Airing,27.0,PG-13 - Teens 13 or older,80.0,67,81960,8.64,"action, adventure, award winning, sci-fi",Mecha,1323346.0,0,"['action', 'adventure', 'award winning', 'sci-fi']",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bleach,Finished Airing,366.0,PG-13 - Teens 13 or older,717.0,35,79473,7.97,"action, adventure, supernatural",unknown,1659526.0,0,"['action', 'adventure', 'supernatural']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Code Geass: Lelouch of the Rebellion R2,Finished Airing,25.0,R - 17+ (violence & profanity),21.0,47,79055,8.91,"action, award winning, drama, sci-fi","Mecha, Military, Super Power",1568420.0,0,"['action', 'award winning', 'drama', 'sci-fi']",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Haikyu!!,Finished Airing,25.0,PG-13 - Teens 13 or older,185.0,36,76685,8.44,sports,"School, Team Sports",1698729.0,0,['sports'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Frieren: Beyond Journey's End,Finished Airing,28.0,PG-13 - Teens 13 or older,1.0,137,72720,9.3,"adventure, drama, fantasy",unknown,935770.0,0,"['adventure', 'drama', 'fantasy']",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Re:ZERO -Starting Life in Another World-,Finished Airing,25.0,R - 17+ (violence & profanity),363.0,23,72572,8.24,"drama, fantasy, suspense","Isekai, Psychological, Time Travel",1932854.0,0,"['drama', 'fantasy', 'suspense']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Clannad: After Story,Finished Airing,24.0,PG-13 - Teens 13 or older,16.0,120,72165,8.93,"drama, romance",unknown,966452.5,0,"['drama', 'romance']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sword Art Online,Finished Airing,25.0,PG-13 - Teens 13 or older,3346.0,6,69926,7.22,"action, adventure, fantasy, romance","Love Polygon, Video Game",2718816.5,0,"['action', 'adventure', 'fantasy', 'romance']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Violet Evergarden,Finished Airing,13.0,PG-13 - Teens 13 or older,71.0,46,66259,8.68,drama,unknown,1480290.0,0,['drama'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Punch Man,Finished Airing,12.0,R - 17+ (violence & profanity),155.0,4,65898,8.48,"action, comedy","Adult Cast, Parody, Super Power",2876987.5,0,"['action', 'comedy']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attack on Titan Season 3 Part 2,Finished Airing,10.0,R - 17+ (violence & profanity),4.0,21,61363,9.05,"action, drama, suspense","Gore, Military, Survival",2089438.0,0,"['action', 'drama', 'suspense']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Gintama,Finished Airing,201.0,PG-13 - Teens 13 or older,17.0,147,60661,8.93,"action, comedy, sci-fi","Gag Humor, Historical, Parody, Samurai",767045.0,0,"['action', 'comedy', 'sci-fi']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Monster,Finished Airing,74.0,R+ - Mild Nudity,24.0,121,58262,8.89,"drama, mystery, suspense","Adult Cast, Psychological",858939.0,0,"['drama', 'mystery', 'suspense']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Puella Magi Madoka Magica,Finished Airing,12.0,PG-13 - Teens 13 or older,223.0,104,58234,8.38,"award winning, drama, suspense","Mahou Shoujo, Psychological",1075763.0,0,"['award winning', 'drama', 'suspense']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Toradora!,Finished Airing,25.0,PG-13 - Teens 13 or older,605.0,25,57764,8.05,"drama, romance","Love Polygon, School",1868870.5,0,"['drama', 'romance']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
My Hero Academia,Finished Airing,13.0,PG-13 - Teens 13 or older,986.0,7,53975,7.84,action,"School, Super Power",2677927.0,0,['action'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown ,Finished Airing,24.0,R - 17+ (violence & profanity),43.0,69,53433,8.77,"action, adventure, drama","Gore, Historical",1343678.5,0,"['action', 'adventure', 'drama']",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attack on Titan: Final Season,Finished Airing,16.0,R - 17+ (violence & profanity),38.0,31,53228,8.78,"action, drama, suspense","Gore, Military, Survival",1811662.5,0,"['action', 'drama', 'suspense']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mob Psycho 100,Finished Airing,12.0,PG-13 - Teens 13 or older,149.0,28,51967,8.49,"action, comedy, supernatural",unknown,1795843.5,0,"['action', 'comedy', 'supernatural']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tokyo Ghoul,Finished Airing,12.0,R - 17+ (violence & profanity),1109.0,10,51829,7.79,"action, fantasy, horror, suspense","Gore, Psychological, Urban Fantasy",2454945.0,0,"['action', 'fantasy', 'horror', 'suspense']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Chainsaw Man,Finished Airing,12.0,R - 17+ (violence & profanity),175.0,58,51253,8.45,"action, fantasy","Gore, Urban Fantasy",1394049.0,0,"['action', 'fantasy']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakemonogatari,Finished Airing,15.0,R - 17+ (violence & profanity),273.0,96,50359,8.32,"mystery, romance, supernatural",Vampire,1106174.5,0,"['mystery', 'romance', 'supernatural']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Erased,Finished Airing,12.0,R - 17+ (violence & profanity),290.0,29,50168,8.3,"mystery, suspense","Psychological, Time Travel",1825546.0,0,"['mystery', 'suspense']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Angel Beats!,Finished Airing,13.0,PG-13 - Teens 13 or older,620.0,32,49588,8.05,"drama, fantasy",School,1736809.0,0,"['drama', 'fantasy']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rascal Does Not Dream of Bunny Girl Senpai,Finished Airing,13.0,PG-13 - Teens 13 or older,367.0,48,49446,8.23,"drama, romance, supernatural",School,1529381.0,0,"['drama', 'romance', 'supernatural']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Black Clover,Finished Airing,170.0,PG-13 - Teens 13 or older,488.0,54,49276,8.14,"action, fantasy",unknown,1372057.0,0,"['action', 'fantasy']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"No Game, No Life",Finished Airing,12.0,PG-13 - Teens 13 or older,635.0,19,48216,8.04,"comedy, fantasy, ecchi","Isekai, Strategy Game",2045315.0,0,"['comedy', 'fantasy', 'ecchi']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fairy Tail,Finished Airing,175.0,PG-13 - Teens 13 or older,1735.0,56,47328,7.57,"action, adventure, fantasy",unknown,1424614.5,0,"['action', 'adventure', 'fantasy']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KonoSuba: God's Blessing on This Wonderful World!,Finished Airing,10.0,PG-13 - Teens 13 or older,549.0,39,46774,8.09,"adventure, comedy, fantasy","Isekai, Parody",1713022.5,0,"['adventure', 'comedy', 'fantasy']",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Made in Abyss,Finished Airing,13.0,R - 17+ (violence & profanity),86.0,91,46530,8.63,"adventure, drama, fantasy, mystery, sci-fi",Gore,1146475.0,0,"['adventure', 'drama', 'fantasy', 'mystery', 'sci-fi']",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JoJo's Bizarre Adventure: Diamond Is Unbreakable,Finished Airing,39.0,R - 17+ (violence & profanity),143.0,130,41837,8.5,"action, adventure",Super Power,1020533.0,0,"['action', 'adventure']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaguya-sama: Love is War,Finished Airing,12.0,PG-13 - Teens 13 or older,209.0,51,41284,8.4,"comedy, romance",School,1514012.0,0,"['comedy', 'romance']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dragon Ball Z,Finished Airing,291.0,PG-13 - Teens 13 or older,412.0,114,40730,8.2,"action, adventure, comedy, fantasy",Martial Arts,1084566.0,0,"['action', 'adventure', 'comedy', 'fantasy']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown ,Finished Airing,12.0,PG-13 - Teens 13 or older,179.0,60,40359,8.45,"action, award winning, comedy","Childcare, Super Power",1427355.5,0,"['action', 'award winning', 'comedy']",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samurai Champloo,Finished Airing,26.0,R - 17+ (violence & profanity),139.0,108,39836,8.52,"action, adventure, comedy","Historical, Samurai",986735.5,0,"['action', 'adventure', 'comedy']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psycho-Pass,Finished Airing,22.0,R - 17+ (violence & profanity),266.0,65,39728,8.33,"action, mystery, sci-fi, suspense","Adult Cast, Detective, Psychological",1260007.5,0,"['action', 'mystery', 'sci-fi', 'suspense']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Kill la Kill,Finished Airing,24.0,PG-13 - Teens 13 or older,638.0,57,38749,8.03,"action, comedy, fantasy, ecchi","School, Urban Fantasy",1394006.0,0,"['action', 'comedy', 'fantasy', 'ecchi']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JoJo's Bizarre Adventure (2012),Finished Airing,26.0,R - 17+ (violence & profanity),904.0,58,38720,7.87,"action, adventure, supernatural","Historical, Vampire",1458455.5,0,"['action', 'adventure', 'supernatural']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Horimiya,Finished Airing,13.0,PG-13 - Teens 13 or older,419.0,83,38405,8.19,romance,School,1235322.5,0,['romance'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mushoku Tensei: Jobless Reincarnation,Finished Airing,11.0,R - 17+ (violence & profanity),253.0,92,37671,8.35,"adventure, drama, fantasy, ecchi","Isekai, Reincarnation",1200502.0,0,"['adventure', 'drama', 'fantasy', 'ecchi']",0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parasyte: The Maxim,Finished Airing,24.0,R - 17+ (violence & profanity),270.0,43,36037,8.32,"action, horror, sci-fi, suspense","Gore, Psychological",1597003.5,0,"['action', 'horror', 'sci-fi', 'suspense']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ouran High School Host Club,Finished Airing,26.0,PG-13 - Teens 13 or older,468.0,134,35942,8.16,"comedy, romance","Crossdressing, Reverse Harem, School",949772.0,0,"['comedy', 'romance']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirited Away,Finished Airing,1.0,PG - Children,41.0,44,34304,8.77,"adventure, award winning, fantasy",Mythology,1663773.5,0,"['adventure', 'award winning', 'fantasy']",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fate/Zero,Finished Airing,13.0,R - 17+ (violence & profanity),325.0,82,34126,8.27,"action, fantasy",Urban Fantasy,1228148.5,0,"['action', 'fantasy']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noragami,Finished Airing,12.0,PG-13 - Teens 13 or older,771.0,27,34107,7.94,"action, supernatural",Mythology,1789508.5,0,"['action', 'supernatural']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bocchi the Rock!,Finished Airing,12.0,PG-13 - Teens 13 or older,46.0,316,33808,8.75,comedy,"CGDCT, Music",570962.5,0,['comedy'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JoJo's Bizarre Adventure: Golden Wind,Finished Airing,39.0,R - 17+ (violence & profanity),106.0,149,33642,8.58,"action, adventure","Organized Crime, Super Power",925047.0,0,"['action', 'adventure']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARLING in the FRANXX,Finished Airing,24.0,PG-13 - Teens 13 or older,3497.0,61,33443,7.19,"action, drama, romance, sci-fi",Mecha,1413966.5,0,"['action', 'drama', 'romance', 'sci-fi']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mob Psycho 100 II,Finished Airing,13.0,PG-13 - Teens 13 or older,38.0,73,33334,8.78,"action, comedy, supernatural",unknown,1348892.5,0,"['action', 'comedy', 'supernatural']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nana,Finished Airing,47.0,R+ - Mild Nudity,115.0,296,33206,8.56,"drama, romance","Adult Cast, Love Polygon, Music",509998.5,0,"['drama', 'romance']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Anohana: The Flower We Saw That Day,Finished Airing,11.0,PG-13 - Teens 13 or older,306.0,72,32862,8.29,"drama, supernatural",unknown,1341780.0,0,"['drama', 'supernatural']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Promised Neverland,Finished Airing,12.0,R - 17+ (violence & profanity),154.0,38,32753,8.48,"mystery, suspense","Psychological, Survival",1720387.0,0,"['mystery', 'suspense']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kaguya-sama: Love is War -Ultra Romantic-,Finished Airing,13.0,PG-13 - Teens 13 or older,14.0,167,32506,8.97,"comedy, romance",School,818618.5,0,"['comedy', 'romance']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
The Disastrous Life of Saiki K.,Finished Airing,120.0,PG-13 - Teens 13 or older,205.0,132,32342,8.41,comedy,"Gag Humor, School, Super Power",931405.5,0,['comedy'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLCL,Finished Airing,6.0,PG-13 - Teens 13 or older,626.0,229,32080,8.04,"action, avant garde, comedy, sci-fi, suspense","Mecha, Parody, Psychological",661574.0,0,"['action', 'avant garde', 'comedy', 'sci-fi', 'suspense']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
That Time I Got Reincarnated as a Slime,Finished Airing,24.0,PG-13 - Teens 13 or older,482.0,81,31994,8.14,"action, comedy, fantasy","Isekai, Reincarnation",1261482.5,0,"['action', 'comedy', 'fantasy']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attack on Titan: Final Season Part 2,Finished Airing,12.0,R - 17+ (violence & profanity),44.0,96,31465,8.76,"action, drama, suspense","Gore, Military, Survival",1160870.0,0,"['action', 'drama', 'suspense']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Banana Fish,Finished Airing,24.0,R - 17+ (violence & profanity),174.0,203,31454,8.45,"action, adventure, drama, suspense","Delinquents, Organized Crime, Psychological",663132.0,0,"['action', 'adventure', 'drama', 'suspense']",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
unknown ,Finished Airing,10.0,R+ - Mild Nudity,94.0,201,31293,8.61,"action, sci-fi","Gore, Organized Crime",783624.5,0,"['action', 'sci-fi']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
